ID,Count
18288,411.7164587
18289,328.571274
18290,278.0725002
18291,229.7613725
18292,193.3908416
18293,173.1167033
18294,186.1474649
18295,215.8818921
18296,248.6014685
18297,321.2474153
18298,455.9742221
18299,505.5072123
18300,510.8629211
18301,451.8184262
18302,483.1039603
18303,477.0019642
18304,464.8272381
18305,475.6557204
18306,487.3621878
18307,517.1405143
18308,496.9541746
18309,463.854138
18310,465.5369426
18311,454.5328633
18312,392.3464893
18313,313.113025
18314,264.9900603
18315,218.9518198
18316,184.2924084
18317,164.9721049
18318,177.3898099
18319,205.7253255
18320,236.9055483
18321,306.1337309
18322,434.5220636
18323,481.7246818
18324,486.8284213
18325,430.5617848
18326,460.3754326
18327,454.5605163
18328,442.9585729
18329,453.2776091
18330,464.4333239
18331,492.8106734
18332,473.5740377
18333,442.0312541
18334,443.6348881
18335,433.1485162
18336,377.9204496
18337,301.6002905
18338,255.2467409
18339,210.9012631
18340,177.5162305
18341,158.9063079
18342,170.867431
18343,198.1610887
18344,228.1948577
18345,294.8776155
18346,418.5452861
18347,464.0123291
18348,468.9284111
18349,414.7306213
18350,443.4480623
18351,437.8469525
18352,426.6715966
18353,436.611216
18354,447.3567505
18355,474.690704
18356,456.1613729
18357,425.778374
18358,427.3230446
18359,417.2222421
18360,262.6252273
18361,209.5886712
18362,177.3765707
18363,146.5599234
18364,123.3599305
18365,110.4274862
18366,118.7395336
18367,137.7064962
18368,158.5776225
18369,204.9169366
18370,290.8563191
18371,322.4523667
18372,325.8686601
18373,288.2054247
18374,308.1618057
18375,304.2694713
18376,296.5034709
18377,303.4107309
18378,310.878039
18379,329.8730041
18380,316.9965647
18381,295.8827509
18382,296.9561764
18383,289.9369068
18384,261.6727722
18385,208.8285622
18386,176.7332844
18387,146.0283989
18388,122.9125447
18389,110.0270021
18390,118.3089044
18391,137.2070802
18392,158.0025137
18393,204.1737704
18394,289.8014791
18395,321.2829382
18396,324.6868419
18397,287.1601987
18398,307.0442044
18399,303.1659863
18400,295.4281505
18401,302.3103602
18402,309.7505869
18403,328.6766635
18404,315.8469226
18405,294.8096817
18406,295.8792143
18407,288.8854012
18408,410.1423733
18409,327.3150714
18410,277.0093659
18411,228.8829426
18412,192.6514645
18413,172.4548389
18414,185.4357809
18415,215.0565266
18416,247.6510086
18417,320.0192135
18418,454.2309291
18419,503.5745435
18420,508.9097762
18421,450.0910217
18422,481.2569442
18423,475.1782774
18424,463.050098
18425,473.8371806
18426,485.4988915
18427,515.1633687
18428,495.0542059
18429,462.0807183
18430,463.7570892
18431,452.795081
18432,400.4942735
18433,319.615383
18434,270.493058
18435,223.4987502
18436,188.1195734
18437,168.3980488
18438,181.07363
18439,209.9975837
18440,241.8253203
18441,312.4911513
18442,443.5456997
18443,491.7285657
18444,496.9382936
18445,439.5031786
18446,469.9359607
18447,464.0002871
18448,452.1574084
18449,462.6907381
18450,474.0781214
18451,503.0447779
18452,483.4086587
18453,451.2108322
18454,452.8477685
18455,442.1436282
18456,415.4301718
18457,331.5350113
18458,280.5807348
18459,231.8338372
18460,195.1352413
18461,174.6782289
18462,187.8265288
18463,217.8291628
18464,250.8438722
18465,324.1450909
18466,460.0871435
18467,510.0669249
18468,515.4709427
18469,455.8938619
18470,487.4615939
18471,481.3045573
18472,469.0200143
18473,479.9461704
18474,491.758231
18475,521.8051602
18476,501.4367381
18477,468.0381368
18478,469.7361205
18479,458.6327835
18480,396.0602024
18481,316.0767623
18482,267.4982949
18483,221.0242845
18484,186.0368082
18485,166.5336304
18486,179.0688739
18487,207.6725962
18488,239.147952
18489,309.0314065
18490,438.634985
18491,486.2843944
18492,491.4364428
18493,434.6372206
18494,464.7330662
18495,458.8631095
18496,447.1513491
18497,457.568059
18498,468.829367
18499,497.4753193
18500,478.0566013
18501,446.2152529
18502,447.8340659
18503,437.2484364
18504,381.6341626
18505,304.5640278
18506,257.7549756
18507,212.9737278
18508,179.2606303
18509,160.4678334
18510,172.546495
18511,200.1083594
18512,230.4372615
18513,297.7752911
18514,422.6582074
18515,468.5720417
18516,473.5364326
18517,418.8060571
18518,447.805696
18519,442.1495456
18520,430.8643728
18521,440.9016659
18522,451.7527937
18523,479.3553499
18524,460.6439365
18525,429.9623728
18526,431.5222224
18527,421.3221623
18528,266.3389403
