ID,Count
18288,481.4770451
18289,384.2438716
18290,325.1886654
18291,268.6917765
18292,226.1586803
18293,202.4493241
18294,217.6879973
18295,252.4605789
18296,290.7241086
18297,375.6790699
18298,533.233774
18299,591.1595558
18300,597.4227275
18301,528.3738265
18302,564.9603322
18303,557.8244235
18304,543.586831
18305,556.2500743
18306,569.940067
18307,604.7639861
18308,581.1573049
18309,542.4488503
18310,544.4167868
18311,531.5481936
18312,366.0073393
18313,292.0930053
18314,247.2006493
18315,204.253065
18316,171.9204221
18317,153.8971363
18318,165.4812114
18319,191.9144966
18320,221.0015172
18321,285.5822478
18322,405.3515673
18323,449.3853618
18324,454.1464752
18325,401.6571514
18326,429.4693383
18327,424.0447911
18328,413.2217137
18329,422.8480085
18330,433.2548137
18331,459.7271245
18332,441.7818897
18333,412.356648
18334,413.8526263
18335,404.0702294
18336,360.4894079
18337,287.6894074
18338,243.4738491
18339,201.1737432
18340,169.3285476
18341,151.5769811
18342,162.9864145
18343,189.0211912
18344,217.6696955
18345,281.2768061
18346,399.2404818
18347,442.6104223
18348,447.2997571
18349,395.601763
18350,422.9946531
18351,417.6518864
18352,406.9919778
18353,416.4731465
18354,426.7230586
18355,452.7962724
18356,435.1215803
18357,406.1399539
18358,407.6133787
18359,397.9784614
18360,509.7616205
18361,406.8164425
18362,344.2920128
18363,284.4761901
18364,239.4444689
18365,214.3422964
18366,230.4761719
18367,267.2914837
18368,307.8028209
18369,397.7484978
18370,564.5588205
18371,625.8874772
18372,632.5185816
18373,559.4133734
18374,598.149169
18375,590.5940582
18376,575.5200723
18377,588.9272233
18378,603.4214405
18379,640.2911056
18380,615.2976398
18381,574.3152405
18382,576.3987842
18383,562.77422
18384,503.4480933
18385,401.7779175
18386,340.0278688
18387,280.9528802
18388,236.4788883
18389,211.6876126
18390,227.621666
18391,263.9810108
18392,303.9906048
18393,392.8222816
18394,557.5666161
18395,618.1357018
18396,624.6846783
18397,552.4848967
18398,590.7409396
18399,583.2794008
18400,568.39211
18401,581.63321
18402,595.9479127
18403,632.3609376
18404,607.6770222
18405,567.2022004
18406,569.2599389
18407,555.8041183
18408,518.7533053
18409,413.9922774
18410,350.3649794
18411,289.4940654
18412,243.6680297
18413,218.12308
18414,234.541541
18415,272.006238
18416,313.2321547
18417,404.7643833
18418,574.5170732
18419,636.927506
18420,643.6755764
18421,569.2808655
18422,608.6999217
18423,601.0115464
18424,585.6716705
18425,599.3153101
18426,614.0651909
18427,651.5852
18428,626.1508744
18429,584.4455866
18430,586.565882
18431,572.7009941
18432,502.5731593
18433,401.0796744
18434,339.4369401
18435,280.4646169
18436,236.0679156
18437,211.3197242
18438,227.2260861
18439,263.5222427
18440,303.4623047
18441,392.1396024
18442,556.5976305
18443,617.0614542
18444,623.5990493
18445,551.5247425
18446,589.7143008
18447,582.2657293
18448,567.4043109
18449,580.6223994
18450,594.9122248
18451,631.2619682
18452,606.6209505
18453,566.2164692
18454,568.2706316
18455,554.8381957
18456,489.9785741
18457,391.0285365
18458,330.9305816
18459,273.4361168
18460,230.1520058
18461,206.0240091
18462,221.5317544
18463,256.9183219
18464,295.8574778
18465,382.3125045
18466,542.6491811
18467,601.5977692
18468,607.9715308
18469,537.7034207
18470,574.935941
18471,567.6740322
18472,553.185044
18473,566.0718845
18474,580.003604
18475,615.4424154
18476,591.4189066
18477,552.0269698
18478,554.0296545
18479,540.9338381
18480,374.5090255
18481,298.8777956
18482,252.9426717
18483,208.997493
18484,175.9138215
18485,157.4718875
18486,169.3250396
18487,196.372322
18488,226.1349813
18489,292.2158051
18490,414.7671484
18491,459.8237681
18492,464.6954735
18493,410.986918
18494,439.4451316
18495,433.894582
18496,422.8201041
18497,432.6700003
18498,443.3185367
18499,470.4057512
18500,452.0436812
18501,421.9349445
18502,423.4656716
18503,413.4560474
18504,368.9909513
18505,294.4740838
18506,249.2157751
18507,205.9180915
18508,173.3218799
18509,155.1516722
18510,166.8301781
18511,193.4789417
18512,222.8030734
18513,287.910252
18514,408.6559048
18515,453.0486533
18516,457.8485782
18517,404.9313729
18518,432.9702787
18519,427.5015118
18520,416.590207
18521,426.2949733
18522,436.7866125
18523,463.4747198
18524,445.3831994
18525,415.7180895
18526,417.2262626
18527,407.3641218
18528,518.2632937
18529,413.6012225
18530,350.0340265
18531,289.2206108
18532,243.4378622
18533,217.9170421
18534,234.3199943
18535,271.7493024
18536,312.9362772
18537,404.382045
18538,573.9743874
18539,636.3258677
18540,643.0675639
18541,568.7431258
18542,608.124947
18543,600.4438341
18544,585.1184481
18545,598.7492001
18546,613.4851482
18547,650.9697161
18548,625.5594156
18549,583.8935224
18550,586.011815
18551,572.1600238
18552,511.9496485
18553,408.5626034
18554,345.7698028
18555,285.6972351
18556,240.4722262
18557,215.2623087
18558,231.465435
18559,268.4387676
18560,309.1239899
18561,399.4557367
18562,566.9820523
18563,628.5739474
18564,635.2335142
18565,561.8145196
18566,600.7165792
18567,593.1290399
18568,577.9903526
18569,591.4550505
18570,606.0114806
